PNo;Gender;Age;SuccessSlopeCond;InfPRIMARYControl;ThreeInARowCond;Canadian;DBC_IOC_HotMachine;DBC_IOC_Familiar;DBC_Sup_MagicNos;DBC_IOC_DiceWin;DBC_Sup_Ritual;DBC_Sup_Horoscope;DBC_Sup_PlayerVsMach;DBC_Sup_Fate;DBC_IOC_GamblingSystem;DBC_IOC_HeadsTails;DBC_Sup_ChanceGame;DBC_IOC_Secrets;DBC_Sup_LuckyPen;DBC_Sup_LuckyClothes;DBC_IOC_LotteryNos;DBC_IOC_Sportsperson;DBC_IOC_BornLucky;DBC_Sup_Superstitious;DBC_IOC_LongLosing;DBC_IOC_MachineSystem;DBC_Sup_LuckyCharm;DBC_Sup_LotterySystem;DBC_Sup;DBC_IOC;DBC_Total;SoccerInterest;QAccListSkill;QAccListLuckyMoments;QAccListPlayers;QAccListStrategy;QAccListLuckyPlay;QAccListLuck;QAccListLuckyPerson;QAccListSoccerKnowl;QAccListBET;QAccListCHANCE;QAccListPractice;QAccListComputerGames;QAccListDeserve;QAccListGoalieMoves;QAccListKickDirn;QStrategyPresent;QStrategyDescr;Q100RoundsGoal;QChancesOfWinning;QChancesOfWinning_Odds;QHowManySingle;QHowManySingleCaptionType;QHowManySingleWins;QOutcomeSeq;QOutcomeSeqOther
160;0;23;U-shaped;0.899339029;Not present;2;Neutral;Disagree;Disagree;Neutral;Strongly disagree;Strongly disagree;Neutral;Disagree;Disagree;Neutral;Neutral;Neutral;Strongly disagree;Neutral;Disagree;Neutral;Neutral;Neutral;Disagree;Disagree;Neutral;Disagree;24;28;52;Mildly;5;6;5;5;7;0;5;5;7;10;5;5;6;1;8;No;                                                                                                                                                                                                        ;35;4;25;75;misses;25;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
161;1;32;U-shaped;-1.070038712;Present;0;Agree;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Neutral;Disagree;Disagree;Agree;Disagree;26;25;51;Mildly;0;0;1;0;0;0;0;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;10;10;10;misses;90;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
162;1;20;Beginning;0.570183628;Not present;0;Disagree;Neutral;Disagree;Neutral;Agree;Neutral;Agree;Disagree;Neutral;Neutral;Disagree;Neutral;Agree;Agree;Neutral;Neutral;Agree;Neutral;Agree;Neutral;Agree;Disagree;34;34;68;Mildly;3;7;3;5;4;3;3;3;5;4;3;5;7;3;7;No;                                                                                                                                                                                                        ;17;7;14.28571429;15;goals;15;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
163;1;24;Even;1.477180459;Not present;4;Agree;Strongly agree;Strongly agree;Neutral;Agree;Neutral;Strongly agree;Disagree;Agree;Agree;Agree;Neutral;Disagree;Disagree;Neutral;Neutral;Agree;Agree;Strongly agree;Neutral;Neutral;Neutral;37;41;78;Mildly;0;0;10;10;5;5;0;5;5;10;5;5;0;10;10;No;                                                                                                                                                                                                        ;55;10;10;50;misses;50;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
164;0;25;End;0.167128251;Present;3;Strongly disagree;Strongly agree;Strongly disagree;Strongly disagree;Strongly agree;Strongly agree;Strongly agree;Strongly disagree;Strongly agree;Neutral;Strongly disagree;Strongly agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;Strongly agree;Strongly agree;Strongly disagree;Strongly disagree;23;37;60;Very little;0;0;10;10;0;0;0;0;0;10;5;5;0;0;0;No;                                                                                                                                                                                                        ;10;10;10;7;goals;7;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
165;1;24;U-shaped;0.988714393;Present;3;Disagree;Agree;Agree;Agree;Agree;Agree;Strongly agree;Disagree;Agree;Disagree;Strongly agree;Agree;Strongly agree;Strongly agree;Neutral;Agree;Strongly disagree;Disagree;Disagree;Agree;Disagree;Disagree;40;34;74;Very little;4;6;7;3;3;3;2;6;6;5;4;5;8;5;6;No;                                                                                                                                                                                                        ;20;5;20;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
166;1;22;Beginning;-0.04008744;Present;2;Disagree;Agree;Disagree;Neutral;Agree;Agree;Agree;Strongly disagree;Strongly agree;Strongly agree;Neutral;Agree;Neutral;Agree;Strongly agree;Agree;Agree;Neutral;Disagree;Agree;Neutral;Strongly disagree;32;42;74;Strongly;5;0;5;5;10;0;0;0;10;0;0;5;0;0;10;No;                                                                                                                                                                                                        ;50;8;12.5;90;misses;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
167;1;23;Even;1.487635143;Present;1;Neutral;Neutral;Agree;Agree;Neutral;Agree;Agree;Agree;Agree;Disagree;Disagree;Agree;Agree;Agree;Agree;Neutral;Disagree;Agree;Neutral;Agree;Agree;Agree;41;36;77;Mildly;6;5;7;7;7;5;6;0;5;7;6;6;5;6;6;No;                                                                                                                                                                                                        ;8;15;6.666666667;7;goals;7;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
168;1;22;Even;0.868694824;Present;12;Neutral;Agree;Disagree;Disagree;Neutral;Agree;Agree;Agree;Agree;Agree;Neutral;Agree;Disagree;Neutral;Agree;Agree;Disagree;Disagree;Disagree;Agree;Disagree;Disagree;31;37;68;Mildly;2;7;8;3;3;4;3;4;3;3;5;3;3;4;6;Yes;pay attention to the movement of goalkeeper                                                                                                                                                             ;20;8;12.5;60;misses;40;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
169;0;23;U-shaped;1.537436727;Present;9;Agree;Agree;Agree;Strongly agree;Agree;Agree;Disagree;Strongly agree;Neutral;Neutral;Agree;Agree;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neutral;40;43;83;Mildly;2;8;9;7;5;9;5;6;5;7;5;7;9;3;9;Yes;invest 10 for the same direction three times and then invest 100 for this direction                                                                                                                     ;30;5;20;60;misses;40;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
170;0;24;Beginning;1.452861436;Not present;11;Agree;Agree;Disagree;Disagree;Strongly agree;Disagree;Disagree;Disagree;Agree;Agree;Agree;Agree;Strongly disagree;Neutral;Disagree;Disagree;Agree;Agree;Agree;Agree;Agree;Neutral;32;38;70;Mildly;6;3;6;4;4;7;6;7;6;7;5;5;7;4;6;No;                                                                                                                                                                                                        ;50;8;12.5;35;goals;35;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
171;0;21;Beginning;-0.564453326;Present;5;Agree;Neutral;Agree;Agree;Agree;Agree;Neutral;Strongly disagree;Agree;Neutral;Agree;Agree;Neutral;Strongly agree;Strongly disagree;Agree;Strongly agree;Agree;Agree;Neutral;Neutral;Agree;39;39;78;Very little;0;10;0;5;10;5;0;0;5;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;20;10;10;70;misses;30;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
172;0;23;Even;0.892584902;Present;6;Agree;Neutral;Strongly agree;Agree;Strongly agree;Agree;Strongly agree;Disagree;Strongly agree;Strongly disagree;Strongly agree;Neutral;Agree;Agree;Neutral;Disagree;Strongly agree;Strongly agree;Strongly disagree;Agree;Agree;Strongly agree;48;35;83;Not at all;5;8;0;6;5;8;3;1;9;5;4;5;8;2;7;No;                                                                                                                                                                                                        ;15;6;16.66666667;80;misses;20;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
173;0;21;U-shaped;1.667258226;Present;4;Neutral;Agree;Strongly agree;Disagree;Agree;Neutral;Agree;Disagree;Neutral;Agree;Agree;Agree;Disagree;Disagree;Strongly agree;Neutral;Agree;Agree;Neutral;Agree;Strongly agree;Strongly agree;40;39;79;Mildly;7;8;5;5;7;5;7;7;5;7;5;8;5;5;6;No;                                                                                                                                                                                                        ;80;5;20;20;goals;20;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
174;0;23;U-shaped;1.21395758;Not present;3;Disagree;Strongly agree;Disagree;Agree;Agree;Agree;Strongly agree;Agree;Neutral;Strongly agree;Agree;Agree;Disagree;Disagree;Disagree;Agree;Neutral;Disagree;Disagree;Agree;Disagree;Strongly disagree;32;38;70;Mildly;4;5;3;3;5;4;3;5;6;5;7;5;3;3;5;No;                                                                                                                                                                                                        ;25;6;16.66666667;10;misses;90;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
175;0;23;U-shaped;-0.682375536;Not present;7;Agree;Strongly agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neutral;Agree;Agree;Neutral;Neutral;Agree;Agree;Disagree;Neutral;Neutral;Agree;Neutral;Neutral;39;41;80;Not at all;0;0;5;0;0;5;5;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;15;15;6.666666667;5;goals;5;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
176;0;22;End;1.78207095;Not present;9;Agree;Neutral;Agree;Neutral;Agree;Neutral;Agree;Neutral;Neutral;Neutral;Agree;Agree;Neutral;Agree;Agree;Agree;Agree;Neutral;Agree;Agree;Neutral;Neutral;38;40;78;Very little;6;6;6;6;7;7;6;6;5;5;6;5;5;7;5;No;                                                                                                                                                                                                        ;30;8;12.5;25;goals;25;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
177;1;24;End;0.378292694;Present;2;Neutral;Neutral;Disagree;Disagree;Agree;Disagree;Agree;Neutral;Agree;Disagree;Agree;Agree;Disagree;Neutral;Disagree;Neutral;Disagree;Neutral;Neutral;Neutral;Neutral;Disagree;32;31;63;Mildly;0;0;0;0;0;0;0;0;0;10;5;5;5;10;0;No;                                                                                                                                                                                                        ;40;3;33.33333333;40;goals;40;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
178;1;25;End;2.341577148;Not present;6;Neutral;Agree;Disagree;Neutral;Disagree;Strongly disagree;Disagree;Neutral;Disagree;Agree;Neutral;Agree;Agree;Agree;Disagree;Neutral;Agree;Agree;Agree;Agree;Neutral;Disagree;30;37;67;Very little;8;6;7;10;6;8;8;5;3;9;8;6;8;6;9;No;                                                                                                                                                                                                        ;9;10;10;75;misses;25;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
179;1;24;Beginning;-0.345728995;Not present;0;Neutral;Disagree;Disagree;Neutral;Agree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Neutral;Agree;Neutral;Strongly disagree;Disagree;Strongly disagree;Disagree;25;25;50;Very strongly;5;10;0;0;0;0;0;5;0;10;0;5;10;0;0;No;                                                                                                                                                                                                        ;50;0;0;30;goals;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
