"Data from: PONE-D-18-12899  --  Hot and bothered: Public attitudes towards heat stress and outdoor access for dairy cows
",,,,,,,,,,,,,,,,,,,
How much do you disagree/agree with the way these cows are being raised?,How inappropriate/appropriate do you consider the cow's living conditions to be?,Do you consider the way these cows are living to be unacceptable/acceptable?,Please explain your general opinion about the scenario you read.,If there were one thing you could change about this farm what would that be?,"How unlikely/likely do you
4,4,4,Cows have a pasture to graze. There's shade if they want it,Presence of water and ease of access ,2,3,3,4,4,3,28,1,2,5,5,1,1,2,2
5,5,5,"They aren't mistreated or abused in any way, and live a good life esp. compared to lots of other livestock. ",Maybe an A/C unit instead of just fans.,1,5,5,5,2,5,46,1,1,3,1,2,1,2,1
5,5,5,The cows are kept in a comfortable area. They can follow most of their natural grazing and socializing urges and are not needlessly harmed. This is great living conditions.,I would like to see the cows milked by a person and not mechanically.,2,4,4,4,4,5,29,1,2,5,3,1,1,2,2
2,2,2,I believe the cows should not be mistreated and their health jeopardized due to heat stress. They deserve to live in an environment that keeps them comfortable and healthy.,Plant a bunch of shade trees or build open sheds or structures with roofs the cows can rest under when they feel overheated.,4,1,2,1,3,1,26,2,3,4,4,1,1,2,2
4,4,4,cows are kept in a barn where they are fed.  The barn has fans so in the summer they do not get over heated. ,I would change that they also install heat for the winter. ,2,4,4,4,3,4,29,1,1,5,7,1,2,2,2
1,1,1,"I feel if you're going to raise any farm animal, you need to raise them in a stress-free and healthy environment.",Plant trees for them to get shade.,1,1,2,1,1,3,60,2,2,5,6,1,1,1,1
1,1,1,I think there should be circulation within the barn so that the cows don't constantly have heat strokes. It's common sense.,Correct circulation of air for the animals.,4,1,2,2,1,2,26,2,3,5,4,1,1,1,1
2,2,2,"The cows need some shade, a shelter would not be that hard or expensive to construct.  They probably don't have enough water, either.",plant trees and build a shelter,4,2,2,2,3,3,57,2,2,5,3,2,2,1,1
4,3,3,cows are kept outside with fans when its hot,i would put an air conditioner behind one of the fans so its not just circulating hot air,3,3,3,3,3,3,23,2,2,3,1,1,2,2,1
3,3,4,they arent being harmed,less cows being slaughtered for food,3,3,3,3,4,4,49,2,2,4,4,1,2,2,1
4,5,4,Open pasture with shade is ideal for cattle. They have protection from predators and relatively free range. A good situation is theirs.,"The location, I wish it were closer to me.",2,4,4,5,4,4,67,1,2,5,4,1,2,1,2
2,2,2,"They should have shelter provided to them that protects them from harm, whatever it may be.",Put a shelter outside for the cows.,4,3,2,3,3,3,22,1,1,5,5,1,1,2,2
2,2,2,It seems as though the cows are kept in a barn which if exclusively living there would not be optimal and the paragraph said they were unlikely to suffer which doesn't seem like enough effort was made to prevent suffering.,Let them outside or keep the barn in a way that would prevent problems from the heat.,3,1,3,2,1,3,44,2,2,5,1,2,2,2,1
1,1,2,"Cows shouldn't be kept in places where they will suffer from heat stress. If we are going to use animals or their byproducts for food, we should do so in the kindest possible way. They are feeling beings and deserve to be treated well and have a good quality of life. ","I would make sure the cows had good ventilation to cool down, and they should be able to wander around outside",5,1,2,2,1,2,50,1,1,5,4,2,2,2,2
3,3,3,I feel like it could go either way and they happiness of the cows just depends on their living conditions. ,There is nothing I would really change. ,2,4,3,3,4,3,27,2,2,5,4,2,1,2,2
4,4,4,I think the cows were being raised in semi appropriate conditions,More room to graze,3,3,4,3,3,4,23,2,2,2,5,2,2,2,2
5,5,5,It seems like the area is adequate for the raising of cows and they have a nice place to eat without having issues with heat.,"I think the situation is perfect for the cows, there isn't much that would improve their already good situation.",1,5,5,5,5,5,28,1,1,5,2,2,1,2,2
1,1,1,I feel the cows should be treated with respect and they should have an area to relax that provides shade and plenty of water. They should have areas to relax and avoid exposure to the sun.,Having a large covered area for the cows to stay without being in the sun.,4,2,1,2,3,2,31,2,2,5,2,1,2,2,2
4,4,4,It seems to me that the cows are being taken care of in a way that is acceptable.,If they had more space to roam,2,4,4,4,3,4,25,2,1,2,2,2,2,2,2
3,3,3,"I would nee more information about their conditions. It is good they have fans, but that does not mean the other conditions are well or suitable.",I am not sure. I would need more information.,3,3,3,3,3,3,27,2,3,5,2,2,2,2,2
2,2,2,The cows need a place to escape the heat of the sun. If the barn heats up they can't escape the heat of outside. They might need to eat but could get heat stroke in side an unventilated barn. ,"Controllable fans/windows/doors to be able to better control the temperature. When it is cold, close the windows doors so the cows can get warmer and vise versa. ",3,2,3,3,3,4,30,1,1,5,4,2,1,2,1
5,5,5,"I think that the cows are not living in cages, have access to food and fans meaning that they will not starve or be dehydrated. These are excellent living conditions.",That the cows had air conditioning and free access to water.,2,3,4,4,4,5,23,2,2,5,4,1,1,2,1
4,4,5,More information about food/water supplies are needed.,Water supply,2,4,4,4,4,4,30,1,2,6,1,2,2,2,1
3,3,4,Cows are delicious.,Can't think of one.,4,3,4,3,3,4,35,1,1,6,5,2,2,1,2
2,2,1,I don't like that the barn can get so hot that the cows suffer in the heat. I do like that they can wander around the barn though. ,It would be that there were a lot of fans for the cows. ,4,2,2,2,2,2,53,2,3,4,5,1,1,2,1
3,2,3,I don't know much about cows. Would seem shade can be helpful but not sure.,Have shade to avoid overheating the cows,3,4,3,3,3,4,35,1,2,5,3,1,1,1,1
3,2,3,they such have a barn to go into ,make a barn for the cows,3,3,3,3,3,3,38,1,1,2,1,2,1,2,2
4,4,4,The status of the cow was in a good position.,None,2,4,4,4,3,5,40,1,2,6,2,2,2,1,1
5,5,5,"Livestock should not be subject to animal cruelty issues, it is meant to be bred, used up and ultimately killed and eaten.",More productivity.,5,1,1,1,1,1,38,1,2,5,2,2,2,2,2
4,4,4,They seem like they are free to roam and have access to shade to cool down.,"Details are very limited in this example, so I am unsure of anything they would change.",2,3,3,3,3,3,35,1,2,5,6,1,1,2,1
4,4,4,"I mean the cows are fed, they might be hot, but I think it's fine. They are animals they'll manage",it would be nice to have fans when hot,2,3,3,3,3,4,38,2,3,6,4,1,1,2,1
4,4,4,"If they have free access to food, water, and protection from the sun, then their living conditions are acceptable to me.",No,2,4,4,4,4,4,32,1,2,4,4,2,1,2,2
2,2,2,They should not endure heat stress. They need a better environment,Provide them cooler living quarters,4,2,2,3,3,3,34,1,1,5,6,2,1,1,1
4,4,4,The passage said that they were unlikely to heat stroke so it could be worse.,A milk only farm.,3,3,3,4,4,4,20,1,1,3,3,1,1,2,2
2,2,2,I think that letting cows just have heat strokes is inhumane. Someone should find a solution to help the cows not have to deal with the heat.,How the cows are forced in the heat all day.,4,2,2,2,4,4,29,2,1,5,3,1,1,1,1
2,2,2,It is very sad how dairy cows are raised.,The cows get more freedom to run around and to graze in the fields.,3,3,2,3,2,3,35,2,3,3,5,1,1,2,1
3,3,3,"My answers were neutral because I felt I wasn't given enough information about the cows' conditions within the space, other than temperature, to have an educated opinion.",Give them pasture land outside,4,3,3,3,2,3,26,2,3,5,1,2,2,1,2
2,2,2,The cows should be kept in area that doesn't allow them to be susceptible to heat stress.,More control of environmental factors so that the cows won't be negatively impacted.,4,2,2,2,2,2,21,1,2,4,4,2,2,2,2
4,4,4,Not sure what to make of it. The cows seem to have it better than I do. There is shade for the cows to prevent them from stress,To place trees for shade.,3,4,4,4,4,4,37,1,2,5,5,1,1,1,1
5,5,5,neat,nothing,4,4,4,3,4,4,32,1,2,3,2,2,1,2,1
4,5,4,I think cows should be able to roam free and enjoy freedom to graze where they want to.,I would keep the cows together and with each other.,1,4,4,4,4,4,28,2,2,1,4,2,1,2,1
2,2,2,"I think it is good that the cows have a somewhat unrestricted access to food, but I don't think that its good that they will experience heat stress when it is hot or that they are confined. ",They have a place to cool off when it gets to hot.,4,4,4,3,2,3,24,2,2,6,4,2,2,2,2
5,5,5,"The cows are allowed to be outside. On hot days, they can rest in the shade. Totally acceptable.","I would need more information about the farm. Maybe, the pasture could be bigger?",1,4,4,4,5,5,54,1,1,5,2,2,2,1,2
1,1,1,The cows will die from such treatment. I feel it is wrong to have them live in such hot conditions.,Have an enclosed open area where the cows could roam freely and not face the heat.,5,1,1,1,2,2,23,1,1,3,3,2,1,2,2
2,2,2,The cows need shade to shield them from the hot sun. ,Plant trees to give the cows shade to protect them from the sun. ,4,2,2,2,3,3,31,1,2,5,2,1,1,2,2
4,3,3,The farmer seems to care by not having them penned up with nowhere to move. I think he would add a shaded area.,Have a covered area.,2,4,4,4,4,4,58,1,3,3,1,2,1,2,2
5,5,5,Cows are animals. They don't deserve royal treatment. If we didn't raise them for food they would still be living the way they do. ,Not sure I would change anything,4,4,5,4,5,4,34,1,3,2,7,2,1,1,2
4,4,4,"They have access to food and it said they aren't overly hot, so it seems like fair living conditions.",Nothing,2,4,4,4,4,4,31,2,2,5,4,2,1,2,2
4,4,4,The cows are protected from bad weather and are kept in a good place with food and water. ,Have the barn temperature controlled all the time for their comfort. ,2,4,4,4,4,4,75,1,2,2,2,2,1,1,1
2,2,2,the cows in barns should be treated more humanly. They should have ways to have air and be able to breathe ok. Even though it is sad what happens to them for when we get food and meat. But they should still be treated good.,have more fans or ways that they can treat cows better. I would say ways for cows to get air when it is hot outside.,5,2,2,2,1,3,60,2,2,4,6,1,1,2,2
2,2,2,Cows should be free to roam the earth. Point blank period. ,Let all the cows loose to roam the lands. ,5,2,2,2,2,2,25,1,1,5,3,2,1,2,2
2,2,2,Heat stress can cause sickness or death... which results in a deaths of cows that  can affect others and then the food supply chain.,Provide appropriate air and ventilation for the cows to live comfortably! ,4,2,2,2,4,3,29,2,2,6,3,1,1,1,2
4,4,4,The cows seem to have some relief from the heat.  It doesn't sound so bad.,I would make more shady spots for the animals.,2,4,4,4,4,4,43,2,1,5,2,1,1,2,1
1,1,1,Cows being in places where they are hot and uncomfortable to the extent that they could be suffering hugely and their health is questioned,I would make sure my animals are comfortable,5,1,1,1,4,2,55,2,2,4,4,1,2,1,1
4,3,3,I agree with giving the cows room to graze and have shade but the fact that they will me killed never paints a pretty picture.,Turn into a non killing farm.,4,2,3,3,3,3,28,1,1,3,1,2,1,2,2
5,5,5,It sounds like the cows have what they need.,Have other living areas for the cows.,1,5,4,5,3,5,29,1,2,6,4,2,1,2,2
2,2,2,THe cows would suffer from heat because there was little shade in their pasture.,The treatment of the animals,3,2,2,2,2,3,21,1,1,5,5,2,1,1,2
2,2,2,I think the farmer is abusing the cows.,I would give the cows air conditioning,4,2,3,2,2,4,20,1,2,3,6,1,2,2,2
5,5,4,they are in a comfortable area while eating.,I don't have enough information to make a determination,2,4,4,4,4,4,50,2,1,2,1,2,1,2,2
2,2,2,cows should have a way to cool off in hot weather,Provide the cows with some shade ,4,2,2,2,2,2,53,1,3,6,3,2,1,1,2
3,3,3,It was a short description that a little bit of information. I would have liked more information so that I could lean away from the middle answer.,Indoor accessibility,3,4,3,3,4,3,31,2,1,5,6,2,1,1,1
3,3,3,I understood what was written but to make a decision about the cows I needed more information.,I always like the free range concept but that may not be possible considering the necessary business model of a dairy farm.,3,3,2,2,2,4,61,1,2,5,3,2,1,1,2
2,2,1,I don't want stressed cows. It will affect my milk or food products.,Add Air conditioning for the cows,4,2,3,2,3,3,26,1,3,5,5,2,1,1,1
1,1,1,The cows are kept in inhumane circumstances and this should be illegal. ,More humane and sustainable practices. Red meat in general is not sustainable given the size of our human population (we are obscenely over-populated and it is impacting all facets of our sustainability),5,1,1,1,1,1,34,1,2,5,7,2,1,2,2
4,3,5,"Cows are comfortable. As long as there is no abuse, no problem.",Let the cows out every now and then.,1,4,5,3,3,4,26,1,1,5,5,2,1,1,1
3,3,3,"I want the world to be rid of all evil, but I can't stop everything as I am one person. Hopefully the cows are raised in the most humane way, but if they're being grown to be slaughtered, how humane can it be?",I would make it more energy efficient so that they could utilize all the available sun energy that hits the lands.,3,3,3,3,3,3,24,1,2,6,6,1,2,2,2
5,5,5,It seems that the cows have some free reign and are not restricted.  Livin' the good life!,I would show this as a model to other farms as to how to treat cows with dignity.,2,4,4,4,3,4,42,1,2,5,7,1,1,2,1
2,2,2,Animals still have rights even if they are used for food and should not be mistreated.,That the cows should only graze in a area that has shade.,4,2,2,2,2,3,30,1,2,4,1,1,2,2,1
2,3,3,Sounds like they were taken care of with the exception of a lack of fans. Just get some fans.,I would get fans.,4,2,2,2,3,3,32,2,2,3,4,1,1,1,2
3,4,4,,,3,3,4,4,3,3,30,2,2,4,4,2,1,2,2
4,4,4,It seems like a good life for the cows,Better shelter for the cows,2,3,4,4,4,4,48,1,3,5,3,2,1,2,2
1,2,1,Although they have free range to food in the barn when it gets really hot they have no way to warm up. I would imagine inside the barn it is crowded and already hot. It would be even more hot when the weather heats up. ,A cooling system. Free range of the farmland ,4,1,2,1,2,2,25,2,2,4,6,2,2,2,1
3,4,4,as a human we need the dairy and meat of the cow and as long as there is no suffering im ok with it,the amount of cows in any given area,2,3,4,4,3,4,32,1,2,2,2,2,1,1,2
2,2,2,I don't think it's fair to the cows to be overheated like that.,More shade or indoor space,3,4,4,4,4,4,24,1,2,3,5,2,1,2,2
3,3,3,The cows are being raised in a farm but the farm has fans so that the cows wont suffer from the heat,Make sure the cows are treated more humanely. ,3,3,3,3,2,3,25,1,1,3,3,2,2,2,2
1,1,1,"Even though they're provided with food, the fact that their health is at risk due to heat stress is not good.",Provide fans so they don't overheat in the summer.,5,1,1,2,1,2,33,2,2,4,4,2,2,2,2
4,5,4,They are kept in pretty fair conditions,Just to hope the barn is big enough ,2,4,4,4,4,4,25,2,1,3,4,2,1,2,2
3,4,4,I think the cows are taken very good care of. They are not suffering and they don't get over heated.,I can't really think of anything.,2,4,4,4,5,4,35,1,2,4,4,1,1,1,2
1,1,1,ANIMALS DO NOT DESERVE TO BE PUT IN A SITUATION WHERE THEIR HEALTH CAN BE HARMED. ,ANIMALS GET TO ROAM FREE,5,2,2,2,4,2,35,2,3,4,5,1,2,2,2
1,2,1,They need to have some sort of cooling system for the animals. That is inhumane. ,The cooling system in the barns.,4,3,2,3,2,4,30,2,2,4,5,2,1,2,2
1,1,1,"If the cows are experiencing heatstroke, that means they're not healthy. If they're not healthy, they're probably going to have problems reproducing.",Give the cows an appropriate amount of shade,4,1,1,2,2,2,21,2,2,2,4,2,2,2,2
2,3,3,"Pasture is good, but why no shade at all? Barns are a good idea.",Shelter,3,3,3,3,2,3,24,2,2,5,1,2,2,2,2
4,4,4,"Why not?  They have an area to graze, and shade to stay cool.",Make it bigger,2,5,4,3,2,4,38,1,2,5,4,2,1,2,2
5,5,5,I feel that these cows are treated appropriately. They are kept as comfortable as they should be and fed well. ,I can't think of anything that I would change. The conditions of the barn seem fine. ,1,4,4,4,3,5,26,2,3,2,2,2,2,1,1
2,2,2,I believe that cows should be provided an area of shade. My opinion of not providing this for the animals is that it's wrong and should be addressed.,"Well, I'm not crazy about farming animals for food to begin with, so getting rid of the whole process and just letting the cows live their lives comfortably is what I would change. If I'm sticking strictly to the scenario as is, I would add areas of shade for the cows.",4,2,1,2,2,3,52,2,1,5,3,1,2,2,2
3,2,2,"The cows should have some shade available to them.  However, the cows are the property of the person who owns them and, as such, I have no say in how they are treated.",Provide shade to animals.,2,3,3,3,4,3,45,1,2,5,4,1,1,2,2
1,2,1,"My opinion, as someone with little to no knowledge on how cows are and should be raised, is that this seems inhumane. Cows are living being, being kept in unnatural conditions. As much as those conditions are relatively comfortable, it's not the natural way of things in my opinion. Animals deserve to have access to their natural habitat. ",Access to the outdoors. ,2,3,3,2,1,4,23,2,2,3,5,2,2,2,1
4,4,4,I suppose the cows got plenty of room to roam and graze with area to shade in. It really wasn't very detailed but those two things are ok for a cow I suppose.,nothing I can think of off hand ,3,3,4,4,3,4,44,1,2,5,1,2,1,1,2
2,2,2,"If the cows are going to all be placed into one area, rather than being able to move about freely, there should be some way to cool them or make the temperature comfortable",Temperature control,4,2,2,2,2,3,25,2,1,5,3,2,1,1,1
5,4,5,the living of the cow,none,4,5,4,4,4,4,29,2,2,6,2,2,2,2,1
2,2,2,It's unfair that they are subject to the heat.,add fans,4,2,2,2,2,3,31,1,2,5,5,2,1,2,2
5,5,5,I believe the cows are treated fairly in this scenario. They have a decent life and are not mistreated. ,Nothing. ,2,4,4,4,4,5,28,2,2,5,5,2,1,2,1
1,1,1,"It's abusive to keep animals in a pen with no shade, where they may become overheated.",Put in a canopy or structure where cows can stand in the shade.,4,2,2,2,2,1,64,2,2,6,5,1,2,2,2
2,2,2,"They would be much happier in the outdoors, rather than in one building with artificial air. It's a greater quality of life.",The cows would be allowed to go outdoors whenever they chose.,4,2,2,2,1,3,29,2,1,6,3,2,2,2,2
3,3,3,"I didn't see a scenario, I think the survey skipped a couple pages.",feed the cows,3,3,3,3,3,3,35,2,2,5,5,2,1,2,2
5,5,5,Cattle don't have shelters while roaming on large pastures that cover thousands of acres. They have survived for years without shelter. Humans are just getting weak. ,Nothing,1,3,5,5,5,5,45,1,2,5,6,1,1,2,1
1,1,1,These cows are suffering. They have no shade and can be burnt by the sun rays. Not a good living arrangement at all and i say it is animal abuse and neglect,The one of many things id change about this farm is having shade.  Shade and Shelter would be available for these cows,5,1,1,1,1,1,40,2,3,3,4,1,2,2,2
2,2,2,The cows have the ability to be raisedan but they apparentry experiencing heat stress at the locale.,It would be that I would eliminate heat stress from the equation.,4,2,2,2,3,2,47,1,1,5,5,2,1,1,1
5,5,5,The cows are treated well.,I would let the cows have access to a pasture.,1,4,4,4,4,5,43,2,3,2,1,2,2,2,2
3,2,4,The living condition is acceptable because animal live in wild life without fans.,add some fans,4,2,3,4,3,3,20,2,2,4,6,1,2,1,1
4,4,4,They seem to have room to move around. They have trees for shade. Both necessary for humane treatment. ,Make sure they have access to water though out the day.,2,4,4,4,4,4,48,1,3,3,3,2,2,2,2
4,4,4,"I don't know much about farming, but if they have food, shelter, and moderate climate control sounds okay.  Not enough detail to further evaluate.",I really don't know what cows want.  Grass?  Do they want to go out more?  Didn't say they couldn't go out in the scenario.,2,3,3,3,3,4,36,1,2,6,6,2,2,2,2
2,2,2,"If it becomes too hot, there is no reason for these animals to be unreasonably uncomfortable when that situation can easily be remedied.",I would change the lack of fans.,4,2,2,2,2,2,20,2,2,4,1,2,1,2,2
2,2,2,The cows are in the heat all day and have no shelter from it,Give the cows a place to get out of the sun,4,2,2,2,2,2,44,1,2,6,4,1,2,2,1
3,3,3,"I DON'T KNOW ENOUGH ABOUT HEAT STRESS TO KNOW HOW MUCH OF A PROBLEM IT WOULD BE TO THE COWS. IT IS NOT UNUSUAL TO SEE COWS IN PASTURES THAT HAVE LITTLE OR NO SHADE, SO I WOULD HAVE TO ASSUME THAT IT IS NORMAL.",IT WOULD BE NICE TO HAVE SOME SHADE FOR THE COWS OR A POND THEY CAN WADE IN.,3,3,3,4,4,4,60,2,2,3,4,1,1,2,1
2,2,2,There should be ventilation where the cows are kept so that the temperature is comfortable for them. They should also be able to move back and forth from the barn to the pasture at their discretion.,Install fans in the barn.,4,2,2,2,2,3,34,2,2,5,4,1,1,2,1
3,3,2,I feel like we treat them well and they would die and eaten more in nature ,Bigger play area,2,4,3,4,2,3,26,1,1,4,3,2,2,2,2
3,3,4,"I do not know the standards for keeping cows, but based on the scenario it appears that the cows are doing just fine.",I would provide a better cooling system for the cows.,3,2,3,2,3,3,25,1,1,5,4,2,2,1,1
5,5,5,It sounds like the cows are living a good life. They have a pasture to graze when they want and shade when needed.I think their living conditions sound fine.,A good supply of water for the cows to be available all day.,1,5,5,5,5,5,32,2,1,1,1,2,2,2,1
2,2,3,The cows are in a barn where they get the food they need. However in warm days they dont have fans cool off and they get heat stress.,"Install fans, everything else seems fine",4,2,2,3,4,4,42,1,1,4,3,2,2,2,2
5,5,5,It sounded like the cows are getting what they need.,Maybe more space?,2,5,4,4,4,4,34,1,2,4,3,1,2,2,1
2,2,2,"The dairy farmer should provide some shade for the cows on hot days.  It should be in his own interest to do so, to increase yield from the cows.",Have some shade in the pasture for the cows.,4,2,2,2,3,2,40,1,2,6,6,1,1,1,1
1,1,1,"Cows are not being properly taken care of, and sometimes have issues when its too hot outside",more shaded area for the cows when the heat is too much,5,1,1,1,1,1,24,2,1,3,2,1,1,2,2
2,2,2,It is wrong to keep the cows in inhumane conditions.,Put some more ventilation for them.,4,2,2,2,2,2,33,1,1,8,5,1,2,2,1
